OBSERVATION DATE,OBSERVER ID
1/1/2010,obsr188956
1/1/2010,obsr230134
1/1/2010,obsr178040
1/1/2010,obsr31905
1/1/2010,obsr219079
1/1/2010,obsr98373
1/1/2010,obsr206866
1/1/2010,obsr754139
1/1/2010,obsr211346
1/1/2010,obsr146572
1/1/2010,obsr115623
1/1/2010,obsr100356
1/1/2010,obsr210461
1/1/2010,obsr126898
1/1/2010,obsr43705
1/1/2010,obsr221322
1/1/2010,obsr649515
1/1/2010,obsr194605
1/1/2010,obsr121519
1/1/2010,obsr234084
1/1/2010,obsr194389
1/1/2010,obsr218210
1/1/2010,obsr221695
1/1/2010,obsr197162
1/1/2010,obsr91755
1/1/2010,obsr159915
1/1/2010,obsr48290
1/1/2010,obsr280566
1/1/2010,obsr144758
1/1/2010,obsr216087
1/1/2010,obsr167846
1/1/2010,obsr134420
1/1/2010,obsr146271
1/1/2010,obsr191780
1/1/2010,obsr38567
1/1/2010,obsr228967
1/1/2010,obsr208163
1/1/2010,obsr222916
1/1/2010,obsr187109
1/1/2010,obsr200944
1/1/2010,obsr21578
1/1/2010,obsr237437
1/1/2010,obsr56433
1/1/2010,obsr212445
1/1/2010,obsr336273
1/1/2010,obsr88263
1/1/2010,obsr176741
1/1/2010,obsr218315
1/1/2010,obsr450977
1/1/2010,obsr40608
1/1/2010,obsr222379
1/1/2010,obsr205088
1/1/2010,obsr130801
1/1/2010,obsr237820
1/1/2010,obsr183708
1/1/2010,obsr18173
1/1/2010,obsr200467
1/1/2010,obsr415433
1/1/2010,obsr1070599
1/1/2010,obsr206296
1/1/2010,obsr219537
1/1/2010,obsr138370
1/1/2010,obsr429131
1/1/2010,obsr352579
1/1/2010,obsr176999
1/1/2010,obsr162174
1/1/2010,obsr268817
1/1/2010,obsr89349
1/1/2010,obsr2808
1/1/2010,obsr100435
1/1/2010,obsr14774
1/1/2010,obsr52125
1/1/2010,obsr101835
1/1/2010,obsr26880
1/1/2010,obsr226384
1/1/2010,obsr90347
1/1/2010,obsr502435
1/1/2010,obsr104651
1/1/2010,obsr648044
1/1/2010,obsr589726
1/1/2010,obsr642042
1/1/2010,obsr131357
1/1/2010,obsr299520
1/1/2010,obsr229444
1/1/2010,obsr619614
1/1/2010,obsr147638
1/1/2010,obsr99548
1/1/2010,obsr338954
1/1/2010,obsr131082
1/1/2010,obsr95514
1/1/2010,obsr553622
1/1/2010,obsr88599
1/1/2010,obsr7918
1/1/2010,obsr264466
1/1/2010,obsr223446
1/1/2010,obsr202812
1/1/2010,obsr180107
1/1/2010,obsr23029
1/1/2010,obsr280167
1/1/2010,obsr15309
1/1/2010,obsr148204
1/1/2010,obsr88424
1/1/2010,obsr189349
1/1/2010,obsr300862
1/1/2010,obsr131563
1/1/2010,obsr201666
1/1/2010,obsr855284
1/1/2010,obsr142860
1/1/2010,obsr188541
1/1/2010,obsr141282
1/1/2010,obsr194390
1/1/2010,obsr119075
1/1/2010,obsr451061
1/1/2010,obsr90631
1/1/2010,obsr218172
1/1/2010,obsr236649
1/1/2010,obsr55872
1/1/2010,obsr141300
1/1/2010,obsr113420
1/1/2010,obsr651846
1/1/2010,obsr208289
1/1/2010,obsr174515
1/1/2010,obsr165941
1/1/2010,obsr298922
1/1/2010,obsr218249
1/1/2010,obsr121611
1/1/2010,obsr132390
1/1/2010,obsr238623
1/1/2010,obsr60335
1/1/2010,obsr175633
1/1/2010,obsr229710
1/1/2010,obsr220776
1/1/2010,obsr139228
1/1/2010,obsr216236
1/1/2010,obsr300821
1/1/2010,obsr30907
1/1/2010,obsr242763
1/1/2010,obsr47368
1/1/2010,obsr210592
1/1/2010,obsr212177
1/1/2010,obsr231258
1/1/2010,obsr291652
1/1/2010,obsr51602
1/1/2010,obsr398164
1/1/2010,obsr201995
1/1/2010,obsr156501
1/1/2010,obsr228145
1/1/2010,obsr224603
1/1/2010,obsr108443
1/1/2010,obsr58810
1/1/2010,obsr199070
1/1/2010,obsr102197
1/1/2010,obsr290792
1/1/2010,obsr208830
1/1/2010,obsr139929
1/1/2010,obsr40176
1/1/2010,obsr44037
1/1/2010,obsr210745
1/1/2010,obsr230421
1/1/2010,obsr40616
1/1/2010,obsr208431
1/1/2010,obsr116090
1/1/2010,obsr213951
1/1/2010,obsr188329
1/1/2010,obsr271972
1/1/2010,obsr140170
1/1/2010,obsr95642
1/1/2010,obsr200797
1/1/2010,obsr38366
1/1/2010,obsr13760
1/1/2010,obsr248167
1/1/2010,obsr225863
1/1/2010,obsr206295
1/1/2010,obsr207119
1/1/2010,obsr39386
1/1/2010,obsr29361
1/1/2010,obsr219185
1/1/2010,obsr37218
1/1/2010,obsr178757
1/1/2010,obsr116942
1/1/2010,obsr101755
1/1/2010,obsr140240
1/1/2010,obsr110905
1/1/2010,obsr155403
1/1/2010,obsr236601
1/1/2010,obsr130964
1/1/2010,obsr199374
1/1/2010,obsr180933
1/1/2010,obsr5220
1/1/2010,obsr39909
1/1/2010,obsr182219
1/1/2010,obsr171769
1/1/2010,obsr208165
1/1/2010,obsr208313
1/1/2010,obsr220700
1/1/2010,obsr228635
1/1/2010,obsr153517
1/1/2010,obsr235938
1/1/2010,obsr193348
1/1/2010,obsr40533
1/1/2010,obsr19006
1/1/2010,obsr232724
1/1/2010,obsr233268
1/1/2010,obsr214546
1/1/2010,obsr50591
1/1/2010,obsr163345
1/1/2010,obsr189055
1/1/2010,obsr208079
1/1/2010,obsr228358
1/1/2010,obsr172200
1/1/2010,obsr145091
1/1/2010,obsr213236
1/1/2010,obsr220559
1/1/2010,obsr225179
1/1/2010,obsr211545
1/1/2010,obsr221242
1/1/2010,obsr149009
1/1/2010,obsr56211
1/1/2010,obsr250723
1/1/2010,obsr110373
1/1/2010,obsr16646
1/1/2010,obsr141722
1/1/2010,obsr167221
1/1/2010,obsr538231
1/1/2010,obsr139705
1/1/2010,obsr2045
1/1/2010,obsr113539
1/1/2010,obsr322442
1/1/2010,obsr121378
1/1/2010,obsr236933
1/1/2010,obsr13613
1/1/2010,obsr148762
1/1/2010,obsr295204
1/1/2010,obsr39918
1/1/2010,obsr188892
1/1/2010,obsr546583
1/1/2010,obsr45635
1/1/2010,obsr218731
1/1/2010,obsr165740
1/1/2010,obsr229410
1/1/2010,obsr144718
1/1/2010,obsr167455
1/1/2010,obsr47965
1/1/2010,obsr214494
1/1/2010,obsr339915
1/1/2010,obsr26721
1/1/2010,obsr221224
1/1/2010,obsr53894
1/1/2010,obsr35186
1/1/2010,obsr192129
1/1/2010,obsr184351
1/1/2010,obsr290835
1/1/2010,obsr178413
1/1/2010,obsr120142
1/1/2010,obsr182773
1/1/2010,obsr179765
1/1/2010,obsr154070
1/1/2010,obsr208018
1/1/2010,obsr194825
1/1/2010,obsr39905
1/1/2010,obsr29419
1/1/2010,obsr141469
1/1/2010,obsr131761
1/1/2010,obsr22301
1/1/2010,obsr299611
1/1/2010,obsr277757
1/1/2010,obsr208478
1/1/2010,obsr183325
1/1/2010,obsr208373
1/1/2010,obsr205492
1/1/2010,obsr131204
1/1/2010,obsr192320
1/1/2010,obsr143499
1/1/2010,obsr203530
1/1/2010,obsr251496
1/1/2010,obsr223748
1/1/2010,obsr236496
1/1/2010,obsr180528
1/1/2010,obsr200394
1/1/2010,obsr448950
1/1/2010,obsr123137
1/1/2010,obsr189973
1/1/2010,obsr227804
1/1/2010,obsr208803
1/1/2010,obsr98420
1/1/2010,obsr129663
1/1/2010,obsr40695
1/1/2010,obsr233300
1/1/2010,obsr288446
1/1/2010,obsr173810
1/1/2010,obsr418664
1/1/2010,obsr234964
1/1/2010,obsr1434935
1/1/2010,obsr163984
1/1/2010,obsr270533
1/1/2010,obsr232818
1/1/2010,obsr231052
1/1/2010,obsr208384
1/1/2010,obsr119891
1/1/2010,obsr223019
1/1/2010,obsr39379
1/1/2010,obsr129602
1/1/2010,obsr156275
1/1/2010,obsr547831
1/1/2010,obsr201098
1/1/2010,obsr171203
1/1/2010,obsr108906
1/1/2010,obsr130532
1/1/2010,obsr60422
1/1/2010,obsr130133
1/1/2010,obsr727752
1/1/2010,obsr222663
1/1/2010,obsr276800
1/1/2010,obsr183694
1/1/2010,obsr93553
1/1/2010,obsr182578
1/1/2010,obsr2417
1/1/2010,obsr48314
1/1/2010,obsr391860
1/1/2010,obsr145907
1/1/2010,obsr223457
1/1/2010,obsr109018
1/1/2010,obsr284928
1/1/2010,obsr216395
1/1/2010,obsr115921
1/1/2010,obsr225483
1/1/2010,obsr211930
1/1/2010,obsr38325
1/1/2010,obsr5989
1/1/2010,obsr157709
1/1/2010,obsr212608
1/1/2010,obsr210799
1/1/2010,obsr138432
1/1/2010,obsr219539
1/1/2010,obsr121058
1/1/2010,obsr223806
1/1/2010,obsr201876
1/1/2010,obsr142285
1/1/2010,obsr174932
1/1/2010,obsr86410
1/1/2010,obsr54305
1/1/2010,obsr274617
1/1/2010,obsr192630
1/1/2010,obsr205401
1/1/2010,obsr238452
1/1/2010,obsr138745
1/1/2010,obsr194724
1/1/2010,obsr206793
1/1/2010,obsr220918
1/1/2010,obsr206038
1/1/2010,obsr208948
1/1/2010,obsr219212
1/1/2010,obsr31363
1/1/2010,obsr23933
1/1/2010,obsr230339
1/1/2010,obsr30097
1/1/2010,obsr152570
1/1/2010,obsr141921
1/1/2010,obsr107891
1/1/2010,obsr2903
1/1/2010,obsr125350
1/1/2010,obsr140112
1/1/2010,obsr162991
1/1/2010,obsr91234
1/1/2010,obsr154120
1/1/2010,obsr807358
1/1/2010,obsr213692
1/1/2010,obsr174457
1/1/2010,obsr238518
1/1/2010,obsr52007
1/1/2010,obsr175835
1/1/2010,obsr105984
1/1/2010,obsr9552
1/1/2010,obsr220035
1/1/2010,obsr425323
1/1/2010,obsr219738
1/1/2010,obsr331267
1/1/2010,obsr965110
1/1/2010,obsr242467
1/1/2010,obsr659691
1/1/2010,obsr316095
1/1/2010,obsr240091
1/1/2010,obsr113347
1/1/2010,obsr207810
1/1/2010,obsr94637
1/1/2010,obsr207226
1/1/2010,obsr207623
1/1/2010,obsr18235
1/1/2010,obsr31021
1/1/2010,obsr225436
1/1/2010,obsr240427
1/1/2010,obsr1752
1/1/2010,obsr151031
1/1/2010,obsr210663
1/1/2010,obsr224157
1/1/2010,obsr203576
1/1/2010,obsr223386
1/1/2010,obsr233227
1/1/2010,obsr217074
1/1/2010,obsr224661
1/1/2010,obsr234646
1/1/2010,obsr639652
1/1/2010,obsr228608
1/1/2010,obsr213181
1/1/2010,obsr195629
1/1/2010,obsr140715
1/1/2010,obsr57543
1/1/2010,obsr224777
1/1/2010,obsr59913
1/1/2010,obsr115374
1/1/2010,obsr207976
1/1/2010,obsr206004
1/1/2010,obsr221558
1/1/2010,obsr224797
1/1/2010,obsr208996
1/1/2010,obsr49786
1/1/2010,obsr205239
1/1/2010,obsr22428
1/1/2010,obsr220598
1/1/2010,obsr216763
1/1/2010,obsr178685
1/1/2010,obsr55097
1/1/2010,obsr238428
1/1/2010,obsr218239
1/1/2010,obsr309566
1/1/2010,obsr124371
1/1/2010,obsr217471
1/1/2010,obsr138433
1/1/2010,obsr983596
1/1/2010,obsr219262
1/1/2010,obsr107683
1/1/2010,obsr221245
1/1/2010,obsr38006
1/1/2010,obsr228393
1/1/2010,obsr3298
1/1/2010,obsr157961
1/1/2010,obsr221276
1/1/2010,obsr227140
1/1/2010,obsr381955
1/1/2010,obsr402256
1/1/2010,obsr232888
1/1/2010,obsr164560
1/1/2010,obsr153877
1/1/2010,obsr790419
1/1/2010,obsr208361
1/1/2010,obsr301847
1/1/2010,obsr178691
1/1/2010,obsr46557
1/1/2010,obsr160487
1/1/2010,obsr222828
1/1/2010,obsr120799
1/1/2010,obsr292935
1/1/2010,obsr19812
1/1/2010,obsr224438
1/1/2010,obsr286476
1/1/2010,obsr28498
1/1/2010,obsr186524
1/1/2010,obsr34603
1/1/2010,obsr358666
1/1/2010,obsr238528
1/1/2010,obsr60821
1/1/2010,obsr55311
1/1/2010,obsr209053
1/1/2010,obsr216193
1/1/2010,obsr150073
1/1/2010,obsr230821
1/1/2010,obsr211124
1/1/2010,obsr234043
1/1/2010,obsr158826
1/1/2010,obsr205580
1/1/2010,obsr349140
1/1/2010,obsr219218
1/1/2010,obsr186887
1/1/2010,obsr145031
1/1/2010,obsr218313
1/1/2010,obsr166857
1/1/2010,obsr18976
1/1/2010,obsr208216
1/1/2010,obsr93831
1/1/2010,obsr4487
1/1/2010,obsr39460
1/1/2010,obsr187517
1/1/2010,obsr115902
1/1/2010,obsr349902
1/1/2010,obsr207663
1/1/2010,obsr192328
1/1/2010,obsr503555
1/1/2010,obsr42729
1/1/2010,obsr159098
1/1/2010,obsr3922
1/1/2010,obsr340119
1/1/2010,obsr148103
1/1/2010,obsr175576
1/1/2010,obsr148737
1/1/2010,obsr99171
1/1/2010,obsr40778
1/1/2010,obsr218932
1/1/2010,obsr131745
1/1/2010,obsr265139
1/1/2010,obsr229511
1/1/2010,obsr173188
1/1/2010,obsr208565
1/1/2010,obsr218650
1/1/2010,obsr233403
1/1/2010,obsr225572
1/1/2010,obsr114446
1/1/2010,obsr209929
1/1/2010,obsr231515
1/1/2010,obsr330808
1/1/2010,obsr177054
1/1/2010,obsr214896
1/1/2010,obsr114181
1/1/2010,obsr185881
1/1/2010,obsr193800
1/1/2010,obsr35292
1/1/2010,obsr147419
1/1/2010,obsr366546
1/1/2010,obsr346937
1/1/2010,obsr190192
1/1/2010,obsr148121
1/1/2010,obsr61257
1/1/2010,obsr33283
1/1/2010,obsr216578
1/1/2010,obsr204031
1/1/2010,obsr140698
1/1/2010,obsr163344
1/1/2010,obsr121475
1/1/2010,obsr241628
1/1/2010,obsr131182
1/1/2010,obsr177384
1/1/2010,obsr388637
1/1/2010,obsr202094
1/1/2010,obsr210797
1/1/2010,obsr22422
1/1/2010,obsr1051
1/1/2010,obsr240574
1/1/2010,obsr309029
1/1/2010,obsr207437
1/1/2010,obsr252738
1/1/2010,obsr223851
1/1/2010,obsr48811
1/1/2010,obsr137832
1/1/2010,obsr158944
1/1/2010,obsr18142
1/1/2010,obsr27456
1/1/2010,obsr1285479
1/1/2010,obsr530557
1/1/2010,obsr306755
1/1/2010,obsr168952
1/1/2010,obsr822939
1/1/2010,obsr1502048
1/1/2010,obsr202988
1/1/2010,obsr239647
1/1/2010,obsr290456
1/1/2010,obsr223115
1/1/2010,obsr222816
1/1/2010,obsr217629
1/1/2010,obsr218514
1/1/2010,obsr625078
1/1/2010,obsr54505
1/1/2010,obsr229049
1/1/2010,obsr146582
1/1/2010,obsr530307
1/1/2010,obsr230106
1/1/2010,obsr131538
1/1/2010,obsr221637
1/1/2010,obsr210709
1/1/2010,obsr176886
1/1/2010,obsr121982
1/1/2010,obsr189239
1/1/2010,obsr178048
1/1/2010,obsr234886
1/1/2010,obsr413937
1/1/2010,obsr216510
1/1/2010,obsr218873
1/1/2010,obsr220709
1/1/2010,obsr20834
1/1/2010,obsr181260
